title,url,video_id,upload_date,duration,duration_seconds,view_count,like_count,description,tags,category,uploader,channel_id,transcript
Creating and editing dbt models from Omni,https://www.youtube.com/watch?v=oytmsSdWV9o,oytmsSdWV9o,2025-02-26,04:50,290,133,1,"Now, you can create & edit dbt models right from Omni's dbt IDE 📝

Need to change a dbt model? From Omni, you can edit it, run the SQL to validate changes, and push the change back down to dbt — bringing your dbt & BI development workflow closer together. 

This lets you:  
🏃 Iterate on dbt models faster
🕚 Spend less time switching between tools
✍ Develop dbt models while analyzing and visualizing the data

Check out Liam's demo to see this in action, and read his new blog for more: [link]",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Drafts Polish - Read-Only Workbook and SQL Saving,https://www.youtube.com/watch?v=xoDifBuqlpw,xoDifBuqlpw,2025-02-06,01:41,101,36,0,Pair of demos to smooth out the drafts experience - final touches on locked read-only field picker + now we'll make sure to save even un-run SQL on save.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 AI Chart Builder,https://www.youtube.com/watch?v=x5gn82kpdP4,x5gn82kpdP4,2025-02-06,05:10,310,180,1,"Some new work to build visualizations using natural language.  These are all using the UI chart builder, so remain editable by end users.  We hope to unify more of the AI interactions in the future, but continuing to press AI into all the different facets of the app.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Nested Folders,https://www.youtube.com/watch?v=jkUSsOrUJ1E,jkUSsOrUJ1E,2025-02-06,05:56,356,63,0,"More work on nested folders in the content management system, including some discussion of permission inheritance.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Tiles Don't Move on Edit,https://www.youtube.com/watch?v=bEj8Igah1xo,bEj8Igah1xo,2025-02-06,02:09,129,50,0,Probably our most persistent bug is now in the past.  Lots of structural work to improve our URL structure and metadata storage to make sure tiles aren't moving or changing in unexpected ways.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Better Embed Auth,https://www.youtube.com/watch?v=ZEsQ3Heukz4,ZEsQ3Heukz4,2025-02-06,02:26,146,53,0,Continuing the work to speed up embed auth and make every embedded dashboard faster.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Cache Busting API,https://www.youtube.com/watch?v=ThB6z5mkxzs,ThB6z5mkxzs,2025-02-06,05:00,300,75,0,"Now the cache is fully in your control - we have a new API to purge the cache.  This means the cache can be tied to changes upstream - ETL cycles, dbt runs, or simply because you have new data.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Editing on Dashboard - Part One,https://www.youtube.com/watch?v=TLPcyq_H5w4,TLPcyq_H5w4,2025-02-06,01:45,105,81,0,"The first in a series of work to lift a bunch of the editing experience for visualization to the dashboard itself.  Making sure builders have all the relevant tools in both the workbook and on the dashboard.  Part one covers titles and descriptions, more to come.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025 01 31 savings spreadsheet,https://www.youtube.com/watch?v=R6JsR8w7rog,R6JsR8w7rog,2025-02-06,01:45,105,34,0,,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Smart Labels,https://www.youtube.com/watch?v=Mivg-kzP7-s,Mivg-kzP7-s,2025-02-06,08:51,531,120,1,"The thumbnail says it all - a new labeling algorithm that means no overlapping labels.  Beautiful scatterplots, lines, bar charts right out of the box.  Rolling out shortly.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Super Clean Guage,https://www.youtube.com/watch?v=MKVRynlgWOE,MKVRynlgWOE,2025-02-06,00:21,21,89,1,A quick look at some new fancy gauge charts.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Transparent Colors Everywhere,https://www.youtube.com/watch?v=HSQvyUYa-D8,HSQvyUYa-D8,2025-02-06,01:54,114,83,2,"Colors are great, but we're not stopping there - we've lifted transparency controls everywhere you find colors.  Also available through 8-character hex codes.  More tools, cleaner finished product.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Themes with AI,https://www.youtube.com/watch?v=8oD5rWJsNHQ,8oD5rWJsNHQ,2025-02-06,01:59,119,146,1,We show some workflows to build dashboard themes using AI.  This means folks can feed in app styles to quickly build new embed themes in Omni.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2025-01-31 Dynamic Embed Sidebar,https://www.youtube.com/watch?v=4FiJPpeVC64,4FiJPpeVC64,2025-02-06,02:20,140,230,2,We show a nice workflow for deploying embedded dashboards - here we use the API to tie dashboards in a folder to the sidebar navigation in production.  This means deploying new dashboards to customers can be as easy as a prod folder in the Omni environment - easy build and deploy.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-08-04 Maps Demo,https://www.youtube.com/watch?v=yCCtppeRngo,yCCtppeRngo,2025-01-30,01:42,102,35,0,First cut of dynamics maps and some improvements to pan/zoom interaction from Dirk.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 Modeling,https://www.youtube.com/watch?v=r49fRfefDSs,r49fRfefDSs,2025-01-30,03:07,187,48,0,"Some new functionality on model management, renaming and remapping database.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 Maps,https://www.youtube.com/watch?v=o3NTmXFqEa4,o3NTmXFqEa4,2025-01-30,01:13,73,13,0,First look at maps in Omni.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 Markdown,https://www.youtube.com/watch?v=h3ufMKRm_w0,h3ufMKRm_w0,2025-01-30,04:39,279,32,0,"First look at embedding in markdown, Richard showing how we can extend dashboards beyond charts.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-08-04 Aesthetic Mapper,https://www.youtube.com/watch?v=b2mCPGwwTuc,b2mCPGwwTuc,2025-01-30,02:03,123,15,0,Work in progress to improve more flexible visualization building via an aesthetic mapper from the table to the vis.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-08-04 Column Drag Improvements,https://www.youtube.com/watch?v=LjZRhWF4JeI,LjZRhWF4JeI,2025-01-30,02:04,124,19,0,Jared showing some tweaks to column re-arranging to make it feel a little nicer.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 Permissions,https://www.youtube.com/watch?v=II-Lb4qdhmQ,II-Lb4qdhmQ,2025-01-30,01:11,71,27,0,Improved permissions layering and a better invitation workflow for admins.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 dbt,https://www.youtube.com/watch?v=6LoPgydh9Qo,6LoPgydh9Qo,2025-01-30,03:17,197,36,0,A first look at automated enrichment of the Omni data model with dbt metadata like descriptions.,,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-08-04 Markdown,https://www.youtube.com/watch?v=5kOttqT3NOw,5kOttqT3NOw,2025-01-30,05:32,332,47,0,"Some fancy dynamic dashboard text via Mustache, and then a few more markdown examples for more flexible tile layouts on dashboards from Arielle.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2023-07-28 Cache,https://www.youtube.com/watch?v=1y9pdnKftvM,1y9pdnKftvM,2025-01-30,24:58,1498,37,0,"Some development in our backend caching layer, along with some discussion of future developments in making queries fast.",,,Omni Analytics,UC1y1XIm2RcLVhm_TtoxkpTQ,❌ Error extracting transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
